Hisse Kodu,Hisse Adı,Şehir
DSTKF,DESTEK FİNANS FAKTORİNG A.Ş.,İSTANBUL
DURDO,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,İSTANBUL
DURKN,DURUKAN ŞEKERLEME SANAYİ VE TİCARET A.Ş.,ANKARA
DYOBY,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,İZMİR
DZGYO,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
EBEBK,EBEBEK MAĞAZACILIK A.Ş.,İSTANBUL
ECILC,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,İSTANBUL
ECZYT,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,İSTANBUL
EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,ANKARA
EDIP,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,İSTANBUL
EFORC,EFOR ÇAY SANAYİ TİCARET A.Ş.,İSTANBUL
EGEEN,EGE ENDÜSTRİ VE TİCARET A.Ş.,İZMİR
EGEGY,EGEYAPI AVRUPA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
EGEPO,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,İZMİR
EGGUB,EGE GÜBRE SANAYİİ A.Ş.,İZMİR
EGPRO,EGE PROFİL TİCARET VE SANAYİ A.Ş.,İZMİR
EGSER,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,İZMİR
EKGYO,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
EKOS,EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.,BALIKESİR
EKSUN,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,İSTANBUL
ELITE,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,ANKARA
EMKEL,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,ANKARA
ENDAE,ENDA ENERJİ HOLDİNG A.Ş.,İZMİR
ENERY,ENERYA ENERJİ A.Ş.,İSTANBUL
ENJSA,ENERJİSA ENERJİ A.Ş.,İSTANBUL
ENKAI,ENKA İNŞAAT VE SANAYİ A.Ş.,İSTANBUL
ENSRI,ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL
ENTRA,IC ENTERRA YENİLENEBİLİR ENERJİ A.Ş.,ANKARA
EPLAS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,İZMİR
ERBOS,ERBOSAN ERCİYAS BORU SANAYİ VE TİCARET A.Ş.,KAYSERİ
ERCB,ERCİYAS ÇELİK BORU SANAYİ A.Ş.,İSTANBUL
EREGL,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,İSTANBUL
ERSU,ERSU MEYVE VE GIDA SANAYİ A.Ş.,ANKARA
ESCAR,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,İSTANBUL
ESCOM,ESCORT TEKNOLOJİ YATIRIM A.Ş.,İSTANBUL
ESEN,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,ANKARA
ETILR,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,İSTANBUL
EUHOL,EURO YATIRIM HOLDİNG A.Ş.,İSTANBUL
EUPWR,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,ANKARA
EUREN,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,ESKİŞEHİR
EYGYO,EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
FADE,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,İZMİR
FENER,FENERBAHÇE FUTBOL A.Ş.,İSTANBUL
FLAP,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,ANKARA
FMIZP,FEDERAL MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.,KOCAELİ
FONET,FONET BİLGİ TEKNOLOJİLERİ A.Ş.,ANKARA
FORMT,FORMET METAL VE CAM SANAYİ A.Ş.,KAYSERİ
FORTE,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.,ANKARA
FRIGO,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,İSTANBUL
FROTO,FORD OTOMOTİV SANAYİ A.Ş.,İSTANBUL
FZLGY,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
GARAN,TÜRKİYE GARANTİ BANKASI A.Ş.,İSTANBUL
GARFA,GARANTİ FAKTORİNG A.Ş.,İSTANBUL
GEDIK,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
GEDZA,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.,KÜTAHYA
GENIL,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,ANKARA
GENTS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.,BOLU
GEREL,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,İSTANBUL
GESAN,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.,ANKARA
GIPTA,GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.,ANKARA
GLCVY,GELECEK VARLIK YÖNETİMİ A.Ş.,İSTANBUL
GLRMK,GÜLERMAK AĞIR SANAYİ İNŞAAT VE TAAHHÜT A.Ş.,ANKARA
GLRYH,GÜLER YATIRIM HOLDİNG A.Ş.,İSTANBUL
GLYHO,GLOBAL YATIRIM HOLDİNG A.Ş.,İSTANBUL
GMTAS,GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.,ANKARA
GOKNR,GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.,ANKARA
GOLTS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL
GOODY,GOODYEAR LASTİKLERİ T.A.Ş.,İSTANBUL
GOZDE,GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
GRSEL,GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.,İSTANBUL
GRTHO,GRAINTURK HOLDİNG A.Ş.,İSTANBUL
GRTRK,GRAINTURK HOLDİNG A.Ş.,İSTANBUL
GSDDE,GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.,İSTANBUL
GSDHO,GSD HOLDİNG A.Ş.,İSTANBUL
GSRAY,GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.,İSTANBUL
GUBRF,GÜBRE FABRİKALARI T.A.Ş.,İSTANBUL
GUNDG,GÜNDOĞDU GIDA SÜT ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.,İSTANBUL
GWIND,GALATA WIND ENERJİ A.Ş.,İSTANBUL
GZNMI,GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.,ANTALYA
HALKB,TÜRKİYE HALK BANKASI A.Ş.,İSTANBUL
HATEK,HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.,HATAY
HATSN,HAT-SAN GEMİ İNŞAA BAKIM ONARIM DENİZ NAKLİYAT SANAYİ VE TİCARET A.Ş.,İSTANBUL
HDFGS,HEDEF GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
HEDEF,HEDEF HOLDİNG A.Ş.,İSTANBUL
HEKTS,HEKTAŞ TİCARET T.A.Ş.,KOCAELİ
HKTM,HİDROPAR HAREKET KONTROL TEKNOLOJİLERİ MERKEZİ SANAYİ VE TİCARET A.Ş.,KOCAELİ
HLGYO,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
HOROZ,HOROZ LOJİSTİK KARGO HİZMETLERİ VE TİCARET A.Ş.,İSTANBUL
HRKET,HAREKET PROJE TAŞIMACILIĞI VE YÜK MÜHENDİSLİĞİ A.Ş.,İSTANBUL
HTTBT,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş.,İSTANBUL
HUBVC,HUB GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
HUNER,HUN YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,İSTANBUL
